FROM,TO,VEC,TO-FIPS,FROM-FIPS,COUNT
RIVERSIDE CO CA,CHANDLER AZ,RIVERSIDE CO CA to CHANDLER AZ,04013,06065,1
FRESNO CO CA,GLENDALE AZ,FRESNO CO CA to GLENDALE AZ,04013,06019,2
FRESNO CO CA,BOSTON MA,FRESNO CO CA to BOSTON MA,25025,06019,4
CALAVERAS CO CA,MESA AZ,CALAVERAS CO CA to MESA AZ,04013,06009,2
CALAVERAS CO CA,HERNANDO CO FL,CALAVERAS CO CA to HERNANDO CO FL,12053,06009,1
CALAVERAS CO CA,KITSAP CO WA,CALAVERAS CO CA to KITSAP CO WA,53035,06009,1
CALAVERAS CO CA,HIGH POINT NC,CALAVERAS CO CA to HIGH POINT NC,37057,06009,1
CALAVERAS CO CA,SAN ANTONIO TX,CALAVERAS CO CA to SAN ANTONIO TX,48029,06009,1
CALAVERAS CO CA,ELK TWP NJ,CALAVERAS CO CA to ELK TWP NJ,,06009,1
KERN CO CA,OLATHE KS,KERN CO CA to OLATHE KS,20091,06029,2
KERN CO CA,FORT WAYNE IN,KERN CO CA to FORT WAYNE IN,18003,06029,1
SACRAMENTO CA,ATLANTA GA,SACRAMENTO CA to ATLANTA GA,13089,06067,2
SAN DIEGO CA,ATLANTA GA,SAN DIEGO CA to ATLANTA GA,13089,06073,1
STOCKTON CA,STATE MO,STOCKTON CA to STATE MO,,06077,1
LOS ANGELES CA,BAY CO FL,LOS ANGELES CA to BAY CO FL,12005,06037,1
SAN BERNARDINO CO CA,MANATEE CO FL,SAN BERNARDINO CO CA to MANATEE CO FL,12081,06071,1
SAN BERNARDINO CO CA,ATLANTA GA,SAN BERNARDINO CO CA to ATLANTA GA,13089,06071,1
SANTA CLARA CO CA,BALTIMORE MD,SANTA CLARA CO CA to BALTIMORE MD,24510,06085,2
OAKLAND CA,BALTIMORE MD,OAKLAND CA to BALTIMORE MD,24510,06001,2
SONOMA CO CA,BALTIMORE MD,SONOMA CO CA to BALTIMORE MD,24510,06097,2
WEST SACRAMENTO CA,KANSAS CITY MO,WEST SACRAMENTO CA to KANSAS CITY MO,29037,06113,1
SACRAMENTO CO CA,STATE MO,SACRAMENTO CO CA to STATE MO,,06067,1
LOS ANGELES CA,STATE MO,LOS ANGELES CA to STATE MO,,06037,1
LOS ANGELES CA,ABILENE TX,LOS ANGELES CA to ABILENE TX,48253,06037,1
SANTA BARBARA CA,STATE MO,SANTA BARBARA CA to STATE MO,,06083,1
SAN DIEGO CA,STATE MO,SAN DIEGO CA to STATE MO,,06073,1
DALY CITY CA,DURHAM NC,DALY CITY CA to DURHAM NC,37063,06081,2
LOS ANGELES CO CA,DURHAM NC,LOS ANGELES CO CA to DURHAM NC,37063,06037,2
SACRAMENTO CA,NORMAN OK,SACRAMENTO CA to NORMAN OK,40027,06067,2
YOLO CO CA,PORTLAND OR,YOLO CO CA to PORTLAND OR,41005,06113,1
FAIRFIELD CA,PORTLAND OR,FAIRFIELD CA to PORTLAND OR,41005,06095,1
FAIRFIELD CA,SEATTLE WA,FAIRFIELD CA to SEATTLE WA,53033,06095,1
VENTURA CA,SEATTLE WA,VENTURA CA to SEATTLE WA,53033,06111,1
SAN BERNARDINO CA,CHARLOTTE NC,SAN BERNARDINO CA to CHARLOTTE NC,37119,06071,1
SAN RAFAEL CA,WICHITA KS,SAN RAFAEL CA to WICHITA KS,20173,06041,1
ATASCADERO CA,WICHITA KS,ATASCADERO CA to WICHITA KS,20173,06079,1
FRESNO CA,AUSTIN TX,FRESNO CA to AUSTIN TX,48209,06019,1
HUMBOLDT CO CA,CRYSTAL LAKE IL,HUMBOLDT CO CA to CRYSTAL LAKE IL,17111,06023,1
LOS ANGELES CO CA,KING CO WA,LOS ANGELES CO CA to KING CO WA,53033,06037,1
LOS ANGELES CA,KING CO WA,LOS ANGELES CA to KING CO WA,53033,06037,1
FOLSOM CA,ARLINGTON TX,FOLSOM CA to ARLINGTON TX,48439,06067,1
SAN DIEGO CO CA,KING CO WA,SAN DIEGO CO CA to KING CO WA,53033,06073,2
SAN DIEGO CA,KING CO WA,SAN DIEGO CA to KING CO WA,53033,06073,2
FAIRFIELD CA,PATERSON NJ,FAIRFIELD CA to PATERSON NJ,34031,06095,1
VENTURA CO CA,FORT WAYNE IN,VENTURA CO CA to FORT WAYNE IN,18003,06111,1
CHANDLER AZ,LONG BEACH CA,CHANDLER AZ to LONG BEACH CA,06037,04013,1
CHANDLER AZ,OXNARD CA,CHANDLER AZ to OXNARD CA,06111,04013,2
GILBERT AZ,OXNARD CA,GILBERT AZ to OXNARD CA,06111,04013,1
GLENDALE AZ,LONG BEACH CA,GLENDALE AZ to LONG BEACH CA,06037,04013,5
GLENDALE AZ,CONCORD CA,GLENDALE AZ to CONCORD CA,06013,04013,2
GLENDALE AZ,OXNARD CA,GLENDALE AZ to OXNARD CA,06111,04013,2
GLENDALE AZ,SACRAMENTO CA,GLENDALE AZ to SACRAMENTO CA,06067,04013,3
GLENDALE AZ,SAN DIEGO CA,GLENDALE AZ to SAN DIEGO CA,06073,04013,3
MESA AZ,SAN DIEGO CA,MESA AZ to SAN DIEGO CA,06073,04013,2
MESA AZ,SAN MATEO CO CA,MESA AZ to SAN MATEO CO CA,06081,04013,1
MESA AZ,HAYWARD CA,MESA AZ to HAYWARD CA,06001,04013,2
MESA AZ,SAN JOSE CA,MESA AZ to SAN JOSE CA,06085,04013,1
MESA AZ,LONG BEACH CA,MESA AZ to LONG BEACH CA,06037,04013,1
MESA AZ,OXNARD CA,MESA AZ to OXNARD CA,06111,04013,1
CORPUS CHRISTI TX,HUNTINGTON BEACH CA,CORPUS CHRISTI TX to HUNTINGTON BEACH CA,06059,48355,1
EVERETT WA,SACRAMENTO CA,EVERETT WA to SACRAMENTO CA,06067,53061,1
ST LOUIS MO,SACRAMENTO CA,ST LOUIS MO to SACRAMENTO CA,06067,29510,1
KING CO WA,SACRAMENTO CA,KING CO WA to SACRAMENTO CA,06067,53033,1
LAS VEGAS NV,SACRAMENTO CA,LAS VEGAS NV to SACRAMENTO CA,06067,32003,1
ATLANTA GA,SACRAMENTO CA,ATLANTA GA to SACRAMENTO CA,06067,13089,1
TACOMA WA,SAN JOSE CA,TACOMA WA to SAN JOSE CA,06085,53053,1
PALM BEACH CO FL,SAN DIEGO CA,PALM BEACH CO FL to SAN DIEGO CA,06073,12099,1
PUTNAM CO FL,SAN DIEGO CA,PUTNAM CO FL to SAN DIEGO CA,06073,12107,1
